n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	raw	100	4	4	3	50	82	82	97	97	100	100	100	100	100	96	96	100	100	100	50	50	50	50	50	50	50	50	25	25
20	20	0	0	sig1	4	4	0	2	2	2	2	3	4	4	4	4	4	4	3	3	4	4	4	2	2	2	2	2	2	2	2	2	0
20	20	0	0	bsln	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
20	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	20	0	0	big2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
20	20	0	0	s2or	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
40	20	0	0	raw	100	7	4	7	50	89	72	100	84	100	97	99	100	100	96	96	100	100	100	29	50	33	50	49	50	50	50	21	29
40	20	0	0	sig1	7	7	0	4	4	4	3	7	4	7	5	6	7	7	5	5	7	7	7	4	4	4	4	4	4	4	4	4	0
40	20	0	0	bsln	4	4	0	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0
40	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	20	0	0	big2	4	4	0	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0
40	20	0	0	s2or	4	4	0	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0
80	20	0	0	raw	100	3	4	1	50	94	58	100	65	100	99	100	100	100	98	97	100	99	100	5	50	3	50	49	50	50	50	10	40
80	20	0	0	sig1	3	3	0	1	1	3	1	3	1	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	0	1
80	20	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
80	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	20	0	0	big2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	20	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	20	0	0	raw	100	6	4	3	43	94	45	100	45	100	99	100	100	100	99	97	100	99	100	0	43	0	43	40	43	41	43	7	36
160	20	0	0	sig1	6	6	0	3	2	5	2	6	2	6	6	6	6	6	6	6	6	6	6	0	2	0	2	2	2	2	2	2	0
160	20	0	0	bsln	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0
160	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	20	0	0	big2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0
