n1	n2	d1	d2	type	m	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	20	0	0	raw	1000	36	36	492	39	836	837	994	958	957	1000	492	235
20	20	0	0	sig1	36	36	1	21	14	15	16	32	23	26	36	21	1
20	20	0	0	bsln	21	21	1	21	14	15	16	21	21	21	21	21	1
20	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
20	20	0	0	big2	21	21	1	21	14	15	16	21	21	21	21	21	1
20	20	0	0	s2or	21	21	1	21	14	15	16	21	21	21	21	21	1
40	20	0	0	raw	1000	47	36	497	40	891	748	995	955	949	1000	497	298
40	20	0	0	sig1	47	47	3	25	21	31	24	44	36	36	47	25	3
40	20	0	0	bsln	25	25	1	25	20	25	24	25	25	25	25	25	3
40	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0	0	big2	25	25	3	25	20	25	24	25	25	25	25	25	3
40	20	0	0	s2or	25	25	1	25	20	25	24	25	25	25	25	25	3
80	20	0	0	raw	1000	50	36	516	47	925	614	990	954	948	1000	516	366
80	20	0	0	sig1	50	50	2	23	32	33	18	47	39	39	50	23	4
80	20	0	0	bsln	23	23	1	23	20	23	18	23	23	23	23	23	4
80	20	0	0	sig2	1	1	1	1	1	1	0	1	1	1	1	1	1
80	20	0	0	big2	23	23	4	23	20	23	19	23	23	23	23	23	4
80	20	0	0	s2or	23	23	1	23	20	23	19	23	23	23	23	23	4
160	20	0	0	raw	1000	47	36	491	44	951	482	988	964	959	1000	491	383
160	20	0	0	sig1	47	47	1	24	32	41	17	45	41	41	47	24	9
160	20	0	0	bsln	24	24	0	24	22	24	17	24	24	24	24	24	9
160	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	20	0	0	big2	24	24	9	24	22	24	21	24	24	24	24	24	9
160	20	0	0	s2or	24	24	0	24	22	24	17	24	24	24	24	24	9
320	20	0	0	raw	1000	41	36	496	40	952	366	985	957	953	1000	496	418
320	20	0	0	sig1	41	41	1	20	32	38	10	40	38	38	41	20	12
320	20	0	0	bsln	20	20	1	20	20	20	10	20	20	20	20	20	12
320	20	0	0	sig2	1	1	1	1	1	1	0	1	1	1	1	1	1
320	20	0	0	big2	20	20	12	20	20	20	18	20	20	20	20	20	12
320	20	0	0	s2or	20	20	1	20	20	20	11	20	20	20	20	20	12
20	40	0	0	raw	1000	36	47	507	47	762	896	996	949	954	1000	297	194
20	40	0	0	sig1	36	36	0	18	5	1	7	33	18	20	36	7	0
20	40	0	0	bsln	18	18	0	18	5	1	7	18	15	16	18	7	0
20	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	big2	18	18	0	18	5	1	7	18	15	16	18	7	0
20	40	0	0	s2or	18	18	0	18	5	1	7	18	15	16	18	7	0
40	40	0	0	raw	1000	47	47	510	52	855	853	999	960	958	1000	510	252
40	40	0	0	sig1	47	47	0	32	21	23	23	47	36	37	47	32	0
40	40	0	0	bsln	32	32	0	32	21	23	23	32	30	30	32	32	0
40	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	big2	32	32	0	32	21	23	23	32	30	30	32	32	0
40	40	0	0	s2or	32	32	0	32	21	23	23	32	30	30	32	32	0
80	40	0	0	raw	1000	50	47	501	56	906	762	996	955	955	1000	501	303
80	40	0	0	sig1	50	50	2	30	27	32	24	48	38	38	50	30	3
80	40	0	0	bsln	30	30	1	30	23	29	24	30	30	30	30	30	3
80	40	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
80	40	0	0	big2	30	30	3	30	23	29	24	30	30	30	30	30	3
80	40	0	0	s2or	30	30	1	30	23	29	24	30	30	30	30	30	3
160	40	0	0	raw	1000	47	47	504	51	927	606	992	960	956	1000	504	360
160	40	0	0	sig1	47	47	1	29	32	38	24	46	42	42	47	29	4
160	40	0	0	bsln	29	29	0	29	26	29	24	29	29	29	29	29	4
160	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	40	0	0	big2	29	29	4	29	26	29	24	29	29	29	29	29	4
160	40	0	0	s2or	29	29	0	29	26	29	24	29	29	29	29	29	4
320	40	0	0	raw	1000	41	47	497	46	938	492	991	955	952	1000	497	391
320	40	0	0	sig1	41	41	3	25	31	37	21	39	38	38	41	25	12
320	40	0	0	bsln	25	25	2	25	25	24	21	25	25	25	25	25	12
320	40	0	0	sig2	2	2	2	2	2	1	0	2	2	2	2	2	2
320	40	0	0	big2	25	25	12	25	25	25	24	25	25	25	25	25	12
320	40	0	0	s2or	25	25	2	25	25	25	23	25	25	25	25	25	12
20	80	0	0	raw	1000	36	50	516	52	625	928	994	954	960	1000	70	148
20	80	0	0	sig1	36	36	4	23	11	3	14	31	15	16	36	7	0
20	80	0	0	bsln	23	23	4	23	11	3	14	23	14	15	23	7	0
20	80	0	0	sig2	4	4	4	4	4	3	4	4	4	4	4	4	0
20	80	0	0	big2	23	23	4	23	11	3	14	23	14	15	23	7	0
20	80	0	0	s2or	23	23	4	23	11	4	14	23	14	15	23	7	4
40	80	0	0	raw	1000	47	50	515	41	743	901	996	957	957	1000	312	202
40	80	0	0	sig1	47	47	2	29	9	5	19	44	27	28	47	16	1
40	80	0	0	bsln	29	29	2	29	9	5	19	29	26	26	29	16	1
40	80	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	1
40	80	0	0	big2	29	29	2	29	9	5	19	29	26	26	29	16	1
40	80	0	0	s2or	29	29	2	29	9	5	19	29	26	26	29	16	2
80	80	0	0	raw	1000	50	50	510	53	829	828	993	937	936	1000	510	246
80	80	0	0	sig1	50	50	0	33	22	23	23	49	34	34	50	33	0
80	80	0	0	bsln	33	33	0	33	21	23	23	33	31	31	33	33	0
80	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	80	0	0	big2	33	33	0	33	21	23	23	33	31	31	33	33	0
80	80	0	0	s2or	33	33	0	33	21	23	23	33	31	31	33	33	0
160	80	0	0	raw	1000	47	50	493	41	901	735	992	953	952	1000	493	289
160	80	0	0	sig1	47	47	2	22	20	33	21	45	37	37	47	22	2
160	80	0	0	bsln	22	22	2	22	18	22	21	22	22	22	22	22	2
160	80	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	2
160	80	0	0	big2	22	22	2	22	18	22	21	22	22	22	22	22	2
160	80	0	0	s2or	22	22	2	22	18	22	21	22	22	22	22	22	2
320	80	0	0	raw	1000	41	50	512	49	926	629	990	947	946	1000	512	374
320	80	0	0	sig1	41	41	1	22	26	31	20	40	32	32	41	22	3
320	80	0	0	bsln	22	22	1	22	21	22	20	22	22	22	22	22	3
320	80	0	0	sig2	1	1	1	1	1	1	0	1	1	1	1	1	1
320	80	0	0	big2	22	22	3	22	21	22	21	22	22	22	22	22	3
320	80	0	0	s2or	22	22	1	22	21	22	21	22	22	22	22	22	3
20	160	0	0	raw	1000	36	47	497	50	484	939	988	946	952	1000	2	107
20	160	0	0	sig1	36	36	1	12	1	0	5	24	6	7	36	0	0
20	160	0	0	bsln	12	12	0	12	1	0	5	11	6	6	12	0	0
20	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	160	0	0	big2	12	12	0	12	1	0	5	11	6	6	12	0	0
20	160	0	0	s2or	12	12	0	12	1	0	5	11	6	6	12	0	0
40	160	0	0	raw	1000	47	47	508	43	630	936	990	963	964	999	71	123
40	160	0	0	sig1	47	47	6	23	8	2	14	38	22	23	46	5	0
40	160	0	0	bsln	23	23	4	23	8	2	14	22	20	21	23	5	0
40	160	0	0	sig2	4	4	4	4	4	2	4	4	4	4	4	4	0
40	160	0	0	big2	23	23	4	23	8	2	14	22	20	21	23	5	0
40	160	0	0	s2or	23	23	4	23	8	4	14	22	20	21	23	5	4
80	160	0	0	raw	1000	50	47	485	55	739	890	991	949	950	1000	285	184
80	160	0	0	sig1	50	50	1	30	18	3	17	44	28	29	50	21	0
80	160	0	0	bsln	30	30	0	30	18	3	17	30	24	24	30	21	0
80	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	160	0	0	big2	30	30	0	30	18	3	17	30	24	24	30	21	0
80	160	0	0	s2or	30	30	0	30	18	3	17	30	24	24	30	21	0
160	160	0	0	raw	1000	47	47	498	46	849	849	995	951	952	1000	498	242
160	160	0	0	sig1	47	47	1	21	15	16	16	45	30	31	47	21	1
160	160	0	0	bsln	21	21	1	21	14	16	16	21	19	20	21	21	1
160	160	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
160	160	0	0	big2	21	21	1	21	14	16	16	21	19	20	21	21	1
160	160	0	0	s2or	21	21	1	21	14	16	16	21	19	20	21	21	1
320	160	0	0	raw	1000	41	47	527	45	908	765	993	958	957	999	527	315
320	160	0	0	sig1	41	41	2	23	19	27	16	37	33	33	40	23	0
320	160	0	0	bsln	23	23	0	23	18	22	16	23	23	23	23	23	0
320	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	160	0	0	big2	23	23	0	23	18	22	16	23	23	23	23	23	0
320	160	0	0	s2or	23	23	0	23	18	22	16	23	23	23	23	23	0
20	320	0	0	raw	1000	36	41	512	44	385	955	984	956	961	1000	0	70
20	320	0	0	sig1	36	36	2	13	2	0	6	20	6	6	36	0	0
20	320	0	0	bsln	13	13	2	13	2	0	6	10	6	6	13	0	0
20	320	0	0	sig2	2	2	2	2	2	0	2	2	2	2	2	0	0
20	320	0	0	big2	13	13	2	13	2	0	6	10	6	6	13	0	0
20	320	0	0	s2or	13	13	2	13	2	2	6	10	6	6	13	2	2
40	320	0	0	raw	1000	47	41	493	43	492	941	988	952	955	1000	3	92
40	320	0	0	sig1	47	47	3	27	4	0	9	36	15	18	47	0	0
40	320	0	0	bsln	27	27	1	27	4	0	9	24	13	15	27	0	0
40	320	0	0	sig2	1	1	1	1	1	0	1	1	1	1	1	0	0
40	320	0	0	big2	27	27	1	27	4	0	9	24	13	15	27	0	0
40	320	0	0	s2or	27	27	1	27	4	1	9	24	13	15	27	1	1
80	320	0	0	raw	1000	50	41	490	51	642	925	987	950	950	999	82	129
80	320	0	0	sig1	50	50	2	24	8	0	12	38	16	16	49	5	0
80	320	0	0	bsln	24	24	1	24	8	0	12	22	15	15	24	5	0
80	320	0	0	sig2	1	1	1	1	1	0	1	1	1	1	1	1	0
80	320	0	0	big2	24	24	1	24	8	0	12	22	15	15	24	5	0
80	320	0	0	s2or	24	24	1	24	8	1	12	22	15	15	24	5	1
160	320	0	0	raw	1000	47	41	495	52	752	893	993	952	953	1000	306	184
160	320	0	0	sig1	47	47	0	24	9	2	17	44	23	24	47	16	0
160	320	0	0	bsln	24	24	0	24	9	2	17	24	20	20	24	16	0
160	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	320	0	0	big2	24	24	0	24	9	2	17	24	20	20	24	16	0
160	320	0	0	s2or	24	24	0	24	9	2	17	24	20	20	24	16	0
320	320	0	0	raw	1000	41	41	472	44	853	852	996	955	955	1000	472	228
320	320	0	0	sig1	41	41	4	18	12	14	14	38	25	25	41	18	2
320	320	0	0	bsln	18	18	3	18	12	14	14	18	18	18	18	18	2
320	320	0	0	sig2	3	3	3	3	3	3	3	3	3	3	3	3	2
320	320	0	0	big2	18	18	3	18	12	14	14	18	18	18	18	18	2
320	320	0	0	s2or	18	18	3	18	12	14	14	18	18	18	18	18	3
20	20	0.2	0	raw	1000	97	36	518	63	792	797	995	931	932	1000	518	224
20	20	0.2	0	sig1	97	97	2	53	28	32	34	93	61	65	97	53	1
20	20	0.2	0	bsln	53	53	2	53	27	32	34	53	50	51	53	53	1
20	20	0.2	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	1
20	20	0.2	0	big2	53	53	2	53	27	32	34	53	50	51	53	53	1
20	20	0.2	0	s2or	53	53	2	53	27	32	34	53	50	51	53	53	2
40	20	0.2	0	raw	1000	127	36	513	113	861	693	992	936	934	1000	513	255
40	20	0.2	0	sig1	127	127	3	69	69	74	48	121	96	98	127	69	4
40	20	0.2	0	bsln	69	69	1	69	62	64	48	69	67	68	69	69	4
40	20	0.2	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0.2	0	big2	69	69	4	69	62	64	48	69	67	68	69	69	4
40	20	0.2	0	s2or	69	69	1	69	62	64	48	69	67	68	69	69	4
80	20	0.2	0	raw	1000	249	36	524	209	880	548	983	917	914	1000	524	279
80	20	0.2	0	sig1	249	249	9	122	171	186	86	238	199	199	249	122	28
80	20	0.2	0	bsln	122	122	4	122	116	121	86	122	122	122	122	122	28
80	20	0.2	0	sig2	4	4	4	4	4	4	1	4	4	4	4	4	4
80	20	0.2	0	big2	122	122	28	122	116	121	89	122	122	122	122	122	28
80	20	0.2	0	s2or	122	122	4	122	116	121	89	122	122	122	122	122	28
160	20	0.2	0	raw	1000	449	36	529	413	901	445	987	922	915	1000	529	277
160	20	0.2	0	sig1	449	449	20	248	382	381	173	439	396	393	449	248	86
160	20	0.2	0	bsln	248	248	17	248	244	243	173	248	244	243	248	248	86
160	20	0.2	0	sig2	17	17	17	17	17	12	0	17	13	12	17	17	17
160	20	0.2	0	big2	248	248	86	248	244	248	204	248	248	248	248	248	86
160	20	0.2	0	s2or	248	248	17	248	244	248	190	248	248	248	248	248	86
320	20	0.2	0	raw	1000	697	36	524	680	905	317	963	914	907	1000	524	282
320	20	0.2	0	sig1	697	697	25	376	656	620	220	665	626	622	697	376	168
320	20	0.2	0	bsln	376	376	16	376	375	375	220	375	375	375	376	376	168
320	20	0.2	0	sig2	16	16	16	16	16	15	0	15	15	15	16	16	16
320	20	0.2	0	big2	376	376	168	376	375	376	295	376	376	376	376	376	168
320	20	0.2	0	s2or	376	376	16	376	375	376	236	376	376	376	376	376	168
20	40	0.2	0	raw	1000	97	47	523	60	695	844	989	919	928	1000	316	158
20	40	0.2	0	sig1	97	97	5	52	24	12	33	88	47	54	97	33	0
20	40	0.2	0	bsln	52	52	4	52	24	12	33	52	43	48	52	33	0
20	40	0.2	0	sig2	4	4	4	4	4	3	4	4	4	4	4	4	0
20	40	0.2	0	big2	52	52	4	52	24	12	33	52	43	48	52	33	0
20	40	0.2	0	s2or	52	52	4	52	24	13	33	52	43	48	52	33	4
40	40	0.2	0	raw	1000	127	47	498	99	760	763	995	908	910	1000	498	190
40	40	0.2	0	sig1	127	127	5	64	54	39	39	124	76	80	127	64	2
40	40	0.2	0	bsln	64	64	5	64	51	39	39	64	62	62	64	64	2
40	40	0.2	0	sig2	5	5	5	5	5	5	5	5	5	5	5	5	2
40	40	0.2	0	big2	64	64	5	64	51	39	39	64	62	62	64	64	2
40	40	0.2	0	s2or	64	64	5	64	51	39	39	64	62	62	64	64	5
80	40	0.2	0	raw	1000	249	47	495	188	788	620	983	896	898	999	495	196
80	40	0.2	0	sig1	249	249	9	119	134	132	83	236	183	186	249	119	5
80	40	0.2	0	bsln	119	119	5	119	105	109	83	119	118	118	119	119	5
80	40	0.2	0	sig2	5	5	5	5	5	5	5	5	5	5	5	5	3
80	40	0.2	0	big2	119	119	7	119	105	109	83	119	118	118	119	119	5
80	40	0.2	0	s2or	119	119	5	119	105	109	83	119	118	118	119	119	7
160	40	0.2	0	raw	1000	449	47	494	384	806	484	972	871	872	1000	494	198
160	40	0.2	0	sig1	449	449	13	226	341	310	165	428	357	358	449	226	48
160	40	0.2	0	bsln	226	226	9	226	221	224	165	226	226	226	226	226	48
160	40	0.2	0	sig2	9	9	9	9	9	9	4	9	9	9	9	9	8
160	40	0.2	0	big2	226	226	49	226	221	224	170	226	226	226	226	226	48
160	40	0.2	0	s2or	226	226	9	226	221	224	170	226	226	226	226	226	49
320	40	0.2	0	raw	1000	697	47	497	669	855	360	953	873	871	999	497	208
320	40	0.2	0	sig1	697	697	39	336	635	563	220	652	579	577	696	336	103
320	40	0.2	0	bsln	336	336	22	336	333	335	220	335	335	335	336	336	103
320	40	0.2	0	sig2	22	22	22	22	22	21	2	21	21	21	22	22	22
320	40	0.2	0	big2	336	336	103	336	333	336	252	336	336	336	336	336	103
320	40	0.2	0	s2or	336	336	22	336	333	336	240	336	336	336	336	336	103
20	80	0.2	0	raw	1000	97	50	508	58	556	874	977	903	910	1000	64	131
20	80	0.2	0	sig1	97	97	4	46	18	1	28	76	35	40	97	10	0
20	80	0.2	0	bsln	46	46	2	46	18	1	28	45	31	34	46	10	0
20	80	0.2	0	sig2	2	2	2	2	2	1	2	2	2	2	2	2	0
20	80	0.2	0	big2	46	46	2	46	18	1	28	45	31	34	46	10	0
20	80	0.2	0	s2or	46	46	2	46	18	2	28	45	31	34	46	10	2
40	80	0.2	0	raw	1000	127	50	499	76	623	798	974	883	887	999	301	155
40	80	0.2	0	sig1	127	127	6	56	27	11	29	103	50	55	126	36	0
40	80	0.2	0	bsln	56	56	1	56	27	11	29	56	42	45	56	36	0
40	80	0.2	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	0
40	80	0.2	0	big2	56	56	1	56	27	11	29	56	42	45	56	36	0
40	80	0.2	0	s2or	56	56	1	56	27	11	29	56	42	45	56	36	1
80	80	0.2	0	raw	1000	249	50	468	132	648	653	967	839	839	999	468	147
80	80	0.2	0	sig1	249	249	8	107	85	59	62	221	140	140	248	107	1
80	80	0.2	0	bsln	107	107	2	107	73	59	62	107	99	99	107	107	1
80	80	0.2	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	1
80	80	0.2	0	big2	107	107	2	107	73	59	62	107	99	99	107	107	1
80	80	0.2	0	s2or	107	107	2	107	73	59	62	107	99	99	107	107	2
160	80	0.2	0	raw	1000	449	50	475	306	690	532	958	820	820	997	475	133
160	80	0.2	0	sig1	449	449	21	222	275	227	153	416	314	315	446	222	18
160	80	0.2	0	bsln	222	222	13	222	207	195	153	222	215	215	222	222	18
160	80	0.2	0	sig2	13	13	13	13	13	13	11	13	13	13	13	13	10
160	80	0.2	0	big2	222	222	21	222	207	195	155	222	215	215	222	222	18
160	80	0.2	0	s2or	222	222	13	222	207	195	155	222	215	215	222	222	21
320	80	0.2	0	raw	1000	697	50	466	609	717	364	930	803	802	994	466	121
320	80	0.2	0	sig1	697	697	36	320	582	447	197	631	520	520	691	320	46
320	80	0.2	0	bsln	320	320	16	320	317	316	197	320	318	317	320	320	46
320	80	0.2	0	sig2	16	16	16	16	16	15	8	16	16	15	16	16	16
320	80	0.2	0	big2	320	320	46	320	317	317	205	320	318	318	320	320	46
320	80	0.2	0	s2or	320	320	16	320	317	317	205	320	318	318	320	320	46
20	160	0.2	0	raw	1000	97	47	469	47	388	882	974	900	911	1000	3	77
20	160	0.2	0	sig1	97	97	5	41	10	0	19	71	22	28	97	0	0
20	160	0.2	0	bsln	41	41	2	41	10	0	19	37	22	26	41	0	0
20	160	0.2	0	sig2	2	2	2	2	2	0	2	2	2	2	2	0	0
20	160	0.2	0	big2	41	41	2	41	10	0	19	37	22	26	41	0	0
20	160	0.2	0	s2or	41	41	2	41	10	2	19	37	22	26	41	2	2
40	160	0.2	0	raw	1000	127	47	492	63	492	829	968	876	886	1000	77	94
40	160	0.2	0	sig1	127	127	5	72	25	0	30	96	44	51	127	15	0
40	160	0.2	0	bsln	72	72	2	72	25	0	30	69	41	47	72	15	0
40	160	0.2	0	sig2	2	2	2	2	2	0	1	2	2	2	2	2	0
40	160	0.2	0	big2	72	72	2	72	25	0	30	69	41	47	72	15	0
40	160	0.2	0	s2or	72	72	2	72	25	2	31	69	41	47	72	15	2
80	160	0.2	0	raw	1000	249	47	485	114	500	707	956	822	826	998	291	97
80	160	0.2	0	sig1	249	249	11	122	72	20	65	206	114	117	247	83	0
80	160	0.2	0	bsln	122	122	5	122	72	20	65	117	100	102	122	83	0
80	160	0.2	0	sig2	5	5	5	5	5	4	5	5	5	5	5	5	0
80	160	0.2	0	big2	122	122	5	122	72	20	65	117	100	102	122	83	0
80	160	0.2	0	s2or	122	122	5	122	72	21	65	117	100	102	122	83	5
160	160	0.2	0	raw	1000	449	47	502	239	545	548	931	736	739	997	502	94
160	160	0.2	0	sig1	449	449	24	217	209	110	113	384	226	229	446	217	4
160	160	0.2	0	bsln	217	217	14	217	174	110	113	215	185	187	217	217	4
160	160	0.2	0	sig2	14	14	14	14	14	14	14	14	14	14	14	14	4
160	160	0.2	0	big2	217	217	14	217	174	110	113	215	185	187	217	217	4
160	160	0.2	0	s2or	217	217	14	217	174	110	113	215	185	187	217	217	14
320	160	0.2	0	raw	1000	697	47	489	546	540	363	891	674	676	992	489	70
320	160	0.2	0	sig1	697	697	28	337	513	294	169	593	405	407	689	337	21
320	160	0.2	0	bsln	337	337	17	337	325	259	169	336	307	309	337	337	21
320	160	0.2	0	sig2	17	17	17	17	17	17	17	17	17	17	17	17	11
320	160	0.2	0	big2	337	337	27	337	325	259	169	336	307	309	337	337	21
320	160	0.2	0	s2or	337	337	17	337	325	259	169	336	307	309	337	337	27
20	320	0.2	0	raw	1000	97	41	506	45	289	899	967	900	914	1000	0	57
20	320	0.2	0	sig1	97	97	4	52	7	0	16	64	16	21	97	0	0
20	320	0.2	0	bsln	52	52	4	52	7	0	16	43	16	21	52	0	0
20	320	0.2	0	sig2	4	4	4	4	4	0	3	3	3	3	4	0	0
20	320	0.2	0	big2	52	52	4	52	7	0	16	43	16	21	52	0	0
20	320	0.2	0	s2or	52	52	4	52	7	4	17	44	17	22	52	4	4
40	320	0.2	0	raw	1000	127	41	509	49	370	842	959	862	874	1000	4	70
40	320	0.2	0	sig1	127	127	5	75	16	0	19	89	25	33	127	1	0
40	320	0.2	0	bsln	75	75	4	75	16	0	19	62	25	30	75	1	0
40	320	0.2	0	sig2	4	4	4	4	4	0	4	4	4	4	4	1	0
40	320	0.2	0	big2	75	75	4	75	16	0	19	62	25	30	75	1	0
40	320	0.2	0	s2or	75	75	4	75	16	4	19	62	25	30	75	4	4
80	320	0.2	0	raw	1000	249	41	526	84	372	733	936	789	793	998	85	83
80	320	0.2	0	sig1	249	249	7	124	39	1	52	186	73	77	247	14	0
80	320	0.2	0	bsln	124	124	4	124	39	1	52	113	68	71	124	14	0
80	320	0.2	0	sig2	4	4	4	4	4	1	4	4	4	4	4	4	0
80	320	0.2	0	big2	124	124	4	124	39	1	52	113	68	71	124	14	0
80	320	0.2	0	s2or	124	124	4	124	39	4	52	113	68	71	124	14	4
160	320	0.2	0	raw	1000	449	41	521	184	370	553	901	679	685	996	325	51
160	320	0.2	0	sig1	449	449	16	225	145	23	86	352	160	166	445	139	0
160	320	0.2	0	bsln	225	225	10	225	138	23	86	209	146	149	224	139	0
160	320	0.2	0	sig2	10	10	10	10	10	8	9	10	9	9	10	10	0
160	320	0.2	0	big2	225	225	10	225	138	23	86	209	146	149	224	139	0
160	320	0.2	0	s2or	225	225	10	225	138	25	87	209	147	150	224	139	10
320	320	0.2	0	raw	1000	697	41	514	442	341	342	857	577	578	987	514	36
320	320	0.2	0	sig1	697	697	34	371	419	139	140	557	307	308	684	371	5
320	320	0.2	0	bsln	371	371	21	371	331	139	140	354	261	262	371	371	5
320	320	0.2	0	sig2	21	21	21	21	21	20	20	21	21	21	21	21	5
320	320	0.2	0	big2	371	371	21	371	331	139	140	354	261	262	371	371	5
320	320	0.2	0	s2or	371	371	21	371	331	140	141	354	261	262	371	371	21
20	20	0.5	0	raw	1000	374	36	529	194	596	604	954	780	795	998	529	113
20	20	0.5	0	sig1	374	374	15	199	150	98	105	329	196	212	372	199	4
20	20	0.5	0	bsln	199	199	10	199	143	98	105	197	169	173	199	199	4
20	20	0.5	0	sig2	10	10	10	10	10	10	10	10	10	10	10	10	4
20	20	0.5	0	big2	199	199	10	199	143	98	105	197	169	173	199	199	4
20	20	0.5	0	s2or	199	199	10	199	143	98	105	197	169	173	199	199	10
40	20	0.5	0	raw	1000	598	36	525	450	628	442	932	752	762	999	525	102
40	20	0.5	0	sig1	598	598	27	314	411	290	174	532	378	389	597	314	23
40	20	0.5	0	bsln	314	314	17	314	290	263	174	312	291	298	314	314	23
40	20	0.5	0	sig2	17	17	17	17	17	17	17	17	17	17	17	17	13
40	20	0.5	0	big2	314	314	27	314	290	263	174	312	291	298	314	314	23
40	20	0.5	0	s2or	314	314	17	314	290	263	174	312	291	298	314	314	27
80	20	0.5	0	raw	1000	889	36	527	822	634	294	897	710	720	999	527	87
80	20	0.5	0	sig1	889	889	31	467	808	536	230	787	608	618	888	467	57
80	20	0.5	0	bsln	467	467	19	467	462	433	230	466	451	454	467	467	57
80	20	0.5	0	sig2	19	19	19	19	19	19	15	19	19	19	19	19	18
80	20	0.5	0	big2	467	467	58	467	462	433	234	466	451	454	467	467	57
80	20	0.5	0	s2or	467	467	19	467	462	433	234	466	451	454	467	467	58
160	20	0.5	0	raw	1000	995	36	527	987	669	208	859	706	712	998	527	75
160	20	0.5	0	sig1	995	995	36	526	987	664	207	854	701	707	993	526	74
160	20	0.5	0	bsln	526	526	23	526	526	512	207	526	519	523	526	526	74
160	20	0.5	0	sig2	23	23	23	23	23	22	7	23	22	22	23	23	23
160	20	0.5	0	big2	526	526	74	526	526	513	226	526	520	524	526	526	74
160	20	0.5	0	s2or	526	526	23	526	526	513	223	526	520	524	526	526	74
320	20	0.5	0	raw	1000	1000	36	527	1000	672	137	826	688	696	997	527	66
320	20	0.5	0	sig1	1000	1000	36	527	1000	672	137	826	688	696	997	527	66
320	20	0.5	0	bsln	527	527	23	527	527	524	137	527	525	525	527	527	66
320	20	0.5	0	sig2	23	23	23	23	23	23	4	23	23	23	23	23	21
320	20	0.5	0	big2	527	527	68	527	527	524	159	527	525	525	527	527	66
320	20	0.5	0	s2or	527	527	23	527	527	524	156	527	525	525	527	527	68
20	40	0.5	0	raw	1000	374	47	496	131	400	621	913	710	735	991	294	79
20	40	0.5	0	sig1	374	374	19	178	92	19	84	288	128	148	365	104	0
20	40	0.5	0	bsln	178	178	8	178	92	19	84	168	114	123	177	104	0
20	40	0.5	0	sig2	8	8	8	8	8	7	8	8	8	8	8	8	0
20	40	0.5	0	big2	178	178	8	178	92	19	84	168	114	123	177	104	0
20	40	0.5	0	s2or	178	178	8	178	92	20	84	168	114	123	177	104	8
40	40	0.5	0	raw	1000	598	47	488	323	410	423	880	642	655	992	488	47
40	40	0.5	0	sig1	598	598	30	294	291	128	136	480	267	280	590	294	3
40	40	0.5	0	bsln	294	294	15	294	243	128	136	287	231	241	294	294	3
40	40	0.5	0	sig2	15	15	15	15	15	15	15	15	15	15	15	15	3
40	40	0.5	0	big2	294	294	15	294	243	128	136	287	231	241	294	294	3
40	40	0.5	0	s2or	294	294	15	294	243	128	136	287	231	241	294	294	15
80	40	0.5	0	raw	1000	889	47	496	735	398	241	821	549	559	987	496	27
80	40	0.5	0	sig1	889	889	41	439	723	309	177	711	450	460	876	439	11
80	40	0.5	0	bsln	439	439	23	439	426	290	177	434	370	378	439	439	11
80	40	0.5	0	sig2	23	23	23	23	23	22	21	23	22	22	23	23	8
80	40	0.5	0	big2	439	439	26	439	426	290	177	434	370	378	439	439	11
80	40	0.5	0	s2or	439	439	23	439	426	291	179	434	371	379	439	439	26
160	40	0.5	0	raw	1000	995	47	496	984	409	139	754	496	501	982	496	20
160	40	0.5	0	sig1	995	995	46	493	981	404	136	749	491	496	977	493	19
160	40	0.5	0	bsln	493	493	25	493	493	370	136	489	422	425	493	493	19
160	40	0.5	0	sig2	25	25	25	25	25	25	21	25	25	25	25	25	11
160	40	0.5	0	big2	493	493	33	493	493	370	138	489	422	425	493	493	19
